name,gender,usage,category
Q.,"m, f","f, l","old english, modern, ai"
W.,"m, f","f, l","old english, modern, ai"
E.,"m, f","f, l","old english, modern, ai"
R.,"m, f","f, l","old english, modern, ai"
T.,"m, f","f, l","old english, modern, ai"
Y.,"m, f","f, l","old english, modern, ai"
U.,"m, f","f, l","old english, modern, ai"
I.,"m, f","f, l","old english, modern, ai"
O.,"m, f","f, l","old english, modern, ai"
P.,"m, f","f, l","old english, modern, ai"
A.,"m, f","f, l","old english, modern, ai"
S.,"m, f","f, l","old english, modern, ai"
D.,"m, f","f, l","old english, modern, ai"
F.,"m, f","f, l","old english, modern, ai"
G.,"m, f","f, l","old english, modern, ai"
H.,"m, f","f, l","old english, modern, ai"
J.,"m, f","f, l","old english, modern, ai"
K.,"m, f","f, l","old english, modern, ai"
L.,"m, f","f, l","old english, modern, ai"
Z.,"m, f","f, l","old english, modern, ai"
X.,"m, f","f, l","old english, modern, ai"
C.,"m, f","f, l","old english, modern, ai"
V.,"m, f","f, l","old english, modern, ai"
B.,"m, f","f, l","old english, modern, ai"
N.,"m, f","f, l","old english, modern, ai"
M.,"m, f","f, l","old english, modern, ai"
